start_time_ns,duration,label,metadata
2039423312905414,2350,ActivateBestChain,""
2039423952559122,42770,VERSION,""
2039423952616792,49061,VERACK,""
2039423989848595,11750,GH,""
2039423989864405,13120,HEADERS,"size_bytes=82"
2039425062872836,35380,VERSION,""
2039425062914876,45430,VERACK,""
2039425096879519,2140,ADDRV2,""
2039425096883849,16890,GH,""
2039425096908229,10930,HEADERS,"size_bytes=82"
2039441519309561,287730,VERSION,""
2039441519612141,50540,VERACK,""
2039441526832832,11520,GH,""
2039441538789833,2008120,ADDRV2,""
2039441540808793,10840,HEADERS,"size_bytes=82"
2039445023269926,1278030,INV,"size_bytes=217"
2039445044477688,224300,TX,"size_bytes=393|tx=b04c6ea7c131fbdc5c7c886ef3a8162b781308804230299edd01ef36ce67a317"
2039445044711258,1211890,TX,"size_bytes=3909|tx=132f4dee049edf2df9aeb0a88a6812f843d5030e3add97c1eb737a94141ab9c3"
2039445045927598,89040,TX,"size_bytes=276|tx=07ef6cb811624b2eca7e2b783c5fac27ed7dbb38ce0f1ba3749f71b1b7b985eb"
2039445060975919,21551862,TX,"size_bytes=41330|tx=d373a715171b17d88201091c893c4c691512cf4bdb6d768a3f72b8bf4a914ccf"
2039445082546701,118020,TX,"size_bytes=250|tx=ae06c6c219bda8251951c8a3b22686e8c23476a96cd93d53f4bf085c65f95983"
2039445082671021,86660,TX,"size_bytes=192|tx=b2be7689282554b09c55524f99301e73f84239d22b741fd5c871f461784638c5"
2039451740420322,65160,INV,"size_bytes=865"
2039451759889463,163340,TX,"size_bytes=362|tx=38d7434a176e00ed8ca862ee9f929cb5e8b0c352defed2636ed76b93c70a137d"
2039451760059723,93280,TX,"size_bytes=257|tx=f34a0be5aa1800e79ef3436224ede138cb9da4ea6c634b00e94f338a67d74ec8"
2039451760156713,76710,TX,"size_bytes=162|tx=b719da3aaf2e566a9ea4e9a7fd28fd00628eb8078aac210630188cd1983e1b56"
2039451760237103,214200,TX,"size_bytes=521|tx=f609440081a02604612a4f534070dc2a4982aa746c70cbb27c518fd0def93fc4"
